,Farm Index,Arable Index,Pasture Index,Wood Index,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops Net Tax,Straw,Hay,Cheese,Butter,Milk,Wool,Beef,Mutton,Pork,Bacon,Tallow,Eggs,Firewood,Timber
unit,1860-9 = 100,1860-9 = 100,1860-9 = 100,,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./cwt.,s./cwt.,s./load,s./ton,d./lb.,d./lb.,d./gallon,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./doz.,s./100 faggots,d./ft3
index,farm,arable,pasture,wood,arable,arable,arable,arable,arable,arable,arable,arable,arable,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,wood,wood
1745,45.44,45.09,43.53,19.27,2.9,2.44,1.63,1.47,2.14,1.88,-1,125.25,10.5,47.93,2.36,4.51,4.06,8.2,2.73,2.7,9,2.63,4.32,4.41,36.1,10.29
1746,47.94,49.84,44.29,18.64,3.6,2.65,1.62,1.33,2.29,1.88,-1,150.11,11.5,45.65,2.6,4.93,4.12,7.82,2.8,2.73,9,2.74,4.41,4.41,37.16,9.35
1747,46.72,46.7,45.3,18.24,3.41,2.44,1.61,1.19,2.1,1.84,2.52,99.43,10.34,46.47,2.69,5.27,4.5,7.43,2.96,2.67,9,2.83,4.44,4.37,31.64,10.52
1748,47.61,50.11,45.25,15.56,3.6,2.6,1.89,1.28,2.13,2.02,-1,97.15,10.04,41.99,2.91,5.25,4.31,7.43,3.06,2.76,9,2.82,4.47,4.82,32.33,7.49
1749,50.12,53.03,45.81,18.66,3.56,2.55,2.11,1.72,2.39,2.27,-1,107.02,9.13,47.54,2.78,5.24,4.1,8.1,2.89,2.73,9,2.92,4.47,4.82,32.64,10.66
1750,49.45,50.58,46.11,20.09,3.48,2.34,1.9,1.55,2.25,2.33,-1,119.11,9.31,56.9,2.72,5.11,4.19,8,2.85,2.52,9,2.78,4.49,4.82,34.12,11.83
1751,51.01,53.29,47.44,18.87,3.76,2.35,2.03,1.59,2.39,2.6,-1,92.03,9.47,47.47,5,4.75,4.19,8,2.93,2.62,7.99,2.97,4.07,4.82,30.59,11.65
1752,54.31,58.32,48.23,21.02,4.31,2.78,2.1,1.62,2.61,2.51,-1,92.75,10.79,47.47,5.2,5.02,4.19,8.5,2.93,2.62,8.63,3.04,3.94,4.82,37.3,11.85
1753,53.57,59.18,45.73,21.08,4.36,2.81,2.25,1.47,2.72,2.36,-1,83.43,11.75,59.34,3.42,5.05,4.19,5.5,2.91,2.59,9,2.91,4.01,4.82,35.05,12.68
1754,53.69,55.16,49.96,21.53,3.74,2.61,2.17,1.59,3.07,2.45,-1,71.11,11.75,72.47,-1,5.5,4.19,6.25,3.13,2.96,9,3.15,4.47,4.82,40.28,11.51
1755,49.77,50.4,47.42,19.54,3.43,2.47,1.89,1.48,2.4,2.24,-1,55.31,12.39,56.55,-1,5.49,4.19,6,3.06,2.7,9,3.39,4.54,4.05,32.33,11.8
1756,52.86,59.16,45.62,18.67,4.28,3.26,2.18,1.65,2.77,2.53,-1,57.01,12.58,45.65,3.3,5.41,4.19,5.5,3.06,2.73,9,3.3,4.52,4.82,28.71,12.14
1757,63.62,79.6,49.36,19.72,6.1,4.47,3.1,1.98,4.11,3.32,-1,69.18,13.42,57.18,3.3,5.41,4.19,7.5,3.15,2.9,8.63,3.46,4.44,4.82,35.02,11.1
1758,60.16,67.72,52.78,19.35,4.89,3.02,2.77,1.88,3.35,2.97,-1,69.28,11.49,64.83,3.58,5.66,4.19,8.5,3.17,3.24,9.23,3.71,4.47,4.82,32.64,11.47
1759,51.99,52.55,50.37,19.24,3.62,2.14,2.02,1.36,2.95,2.25,-1,97.4,11.75,58.05,3.3,5.65,4.19,6.93,3.15,3.18,9.79,3.74,4.42,4.82,31.54,11.73
1760,51.06,51.74,48.23,20.66,3.33,2.19,2.01,1.42,2.43,2.33,-1,135.25,13.35,61.5,2.89,5.39,4.2,6.76,3,2.93,9.79,3.09,4.6,4.82,34.34,12.44
1761,48.2,48.41,47.08,17.86,3.2,2.23,1.8,1.4,2.57,2.31,2.75,80.9,11.52,56.44,2.75,5.54,4.35,5.71,3.03,2.9,8.63,3.33,4.67,4.61,29.44,10.83
1762,52.06,55.98,47.04,18.69,3.79,3.48,2.17,1.59,2.6,2.56,3.29,65.81,12.14,57.54,3.12,5.7,4.19,5.63,2.99,2.76,7.54,3.58,4,4.82,29.14,11.99
1763,57.45,66.61,48.43,18.68,4.04,3.37,2.88,2.04,3.59,3.25,4.36,70.07,15.87,61.4,3.22,5.4,4.19,6.67,2.95,2.84,8.14,3.58,4.2,4.38,31.72,11
1764,58.29,66.71,49.44,19.74,4.77,3.48,2.76,1.77,2.76,3.02,3.01,61.71,14.03,60.39,3.33,5.29,4.19,6.96,3.09,3.07,8.39,3.58,4.11,4.61,31.9,12.21
1765,61.71,71.97,50.5,22.5,5.21,3.72,2.71,1.8,2.96,2.93,3.03,173.04,15.24,62.63,3.51,5.59,4,6.72,3.03,3.18,9.23,3.93,4.15,4.72,40.71,12.44
